,actor,popularity,rating,ROI,movies count
0, alberto,9.136965,6.335195887733656,169.63196828677226,1
1, allen,2.3918470000000003,6.15375023195806,-82.78600461374963,1
2, brandon,1.623338,6.138551026507492,-58.981950000000005,1
3, colby,0.065103,6.203940635234189,-363.25160007251196,1
4, marcos,0.038706,6.2118378456244425,193.9471673850147,1
5, scott,4.1186120000000015,6.1718629798716504,193.9471755078369,1
6,"""weird al""",4.070044,6.245799167201526,169.63159034929646,1
7,'g. thang',16.238961,5.61059321817251,-43.562864000000005,1
8,'see tao',8.884317999999997,6.3086709361321445,-16.54758389261745,1
9,50 cent,12.885985,6.221250203432474,16.10632,1
10,a. carpenter,15.280261,6.544148415518095,183.65505078195946,1
11,a. fox,6.876373,6.135782529779353,152.52641777777777,2
12,a.j. cook,37.355826,6.055651351395339,247.79386538461537,1
13,a.r. white,6.96858,6.1747462134068964,370.15134,1
14,aaliyah isaiah,19.750059,6.157728443074303,264.14704,1
15,aaliyah marguerite,11.644243,6.057614624858447,29.940314285714287,1
16,aamir khan,3.2269249999999996,6.250944470109337,162.8331426880349,2
17,aaran thomas,6.567065,6.1277378236165125,64.33976799999999,1
18,aaron abrams,3.3502970000000003,6.212231967035652,193.94719251069043,1
19,aaron eckhart,32.82633366666667,6.256833825032754,145.3355272172717,18
20,aaron kwok,4.7262900000000005,6.202667831883183,182.78165863629727,1
21,aaron milligan,1.187764,6.175177971414908,127.56171238007332,1
22,aaron murphy,8.450513,6.356468134409981,192.06859784287445,1
23,aaron paul,67.24434000000001,6.053769146725958,211.13093663203463,3
24,aaron ruell,23.603514,6.377472101896844,11429.52425,1
25,aaron stanford,21.8390925,6.1794628390549855,1095.84171,2
26,aaron taylor-johnson,22.061563624999998,6.332616700625568,123.32984029212508,8
27,aaron yoo,32.8011985,6.315836087388563,182.93596603174603,2
28,abbey lincoln,0.008453,6.208807273234352,193.94716697264508,1
29,abbie cornish,31.287890200000003,6.132814052454409,16.78001081252989,5
30,abel sean,61.121717,6.071132435111941,138.4181147368421,1
31,abercrombie breckin,16.930969,5.867942702405903,229.77050805778788,1
32,abhinay vaddi,0.416179,6.203860637647234,193.94716749655433,1
33,abhishek bachchan,0.2851309999999999,6.19247177556218,193.94716788412362,1
34,abigail bianca,7.679336,6.045066159474475,10.82804,1
35,abigail breslin,25.372055833333334,6.320203888499346,200.85760178069236,12
36,abigail hargrove,81.834855,6.621734531231851,165.9325,1
37,abigail spencer,13.621201,6.342547591976729,193.9472628313424,1
38,abraham anna,19.043286,6.384367789528505,86.16224186046512,1
39,abraham art,32.044191,6.163941686403256,61.527634117647054,1
40,abraham mathieu,74.417456,7.661997710799522,482.00106,1
41,abraham seema,2.787375,6.225890453360274,-48.719463644883135,1
42,abraham tom,31.82675,7.0133891116851075,188.73905,1
43,abrahams zorie,2.144354,6.175085062622562,150.93369215800527,1
44,abu george,0.51799,6.22215900783894,193.9471781710744,1
45,ackles kal,17.971883,6.157957366794294,86.24848421052631,1
46,acovone jeff,17.141376,5.9549359396449235,188.32934568610975,1
47,adam alexi-malle,16.759252,6.275340096083728,8.103449999999999,1
48,adam baldwin,3.5034080000000003,6.22616976558707,-86.70863714285714,1
49,adam beach,15.232921,6.192521881129963,52.43605949835926,4
50,adam bousdoukos,5.461487,6.296110850293772,257.45592,1
51,adam boyd,7.5591,6.178880943338408,-88.46226666666666,1
52,adam brody,22.512324125,6.215296940632866,166.91562651599637,8
53,adam butcher,1.688495,6.231718111212792,193.9471768096449,1
54,adam campbell,8.08168,5.623533709566239,238.53497499999997,2
55,adam carolla,0.908018,6.210846192573688,149.06836921548586,2
56,adam david,61.309619,6.203514558203823,89.9342857142857,1
57,adam driver,18.355806,6.284534739056188,1.8692598632311501,3
58,adam g.,27.016708,6.332744511633475,493.34873963768115,2
59,adam garcia,10.417130499999999,6.1273887252328,104.27514154559293,4
60,adam goldberg,6.296039,6.240430203974338,-19.397471922801742,2
