,director,films_count,popularity
1870,Steven Spielberg,27,48.49839603703704
2065,Woody Allen,21,17.11094042857143
338,Clint Eastwood,20,26.8867977
1280,Martin Scorsese,20,34.015753849999996
1821,Spike Lee,16,10.4532451875
1649,Ridley Scott,16,57.5580511875
1690,Robert Rodriguez,16,29.713710375
1612,Renny Harlin,15,17.3961144
1869,Steven Soderbergh,15,29.694696599999997
1926,Tim Burton,14,47.007483071428574
1472,Oliver Stone,14,21.628577214285713
924,Joel Schumacher,13,24.982748461538463
1698,Robert Zemeckis,13,51.107163230769224
143,Barry Levinson,13,15.33858946153846
1718,Ron Howard,13,36.73418146153846
593,Francis Ford Coppola,12,40.22654541666666
1986,Tony Scott,12,30.89975075
1320,Michael Bay,12,43.415185916666665
1123,Kevin Smith,12,17.938640666666668
223,Brian De Palma,12,24.209924083333334
1624,Richard Donner,11,23.97769781818182
1663,Rob Reiner,11,22.667354636363637
1798,Shawn Levy,11,38.44065654545455
288,Chris Columbus,11,56.80051018181818
920,Joel Coen,11,34.842203
199,Bobby Farrelly,11,28.89599618181818
1753,Sam Raimi,11,42.378747000000004
936,John Carpenter,10,24.0573299
1518,Paul W.S. Anderson,10,27.992202900000002
969,John McTiernan,10,32.7194075
1635,Richard Linklater,10,21.990932800000003
430,David Fincher,10,76.03726609999998
2040,Wes Craven,10,22.815842800000002
1655,Rob Cohen,9,25.508295666666665
1577,Phillip Noyce,9,23.02483977777778
1223,M. Night Shyamalan,9,36.41228077777778
1546,Peter Jackson,9,88.00192955555556
1836,Stephen Frears,9,14.475086666666666
1156,Lasse Hallström,9,23.647259333333334
220,Brett Ratner,9,25.260861666666667
486,Dennis Dugan,9,29.478968222222225
806,James Mangold,8,29.136876125
1838,Stephen Herek,8,10.670252375
1585,Quentin Tarantino,8,72.85410675
721,Harold Ramis,8,24.722431375
397,Danny Boyle,8,50.75818125
847,Jay Roach,8,23.666649
97,Ang Lee,8,28.673626
515,Donald Petrie,8,14.4050695
765,Ivan Reitman,8,16.604620125
