,title,release_date,popularity,ROI,rating,orginal_title,renew,reboot
0,A Haunted House,2013.0,18.661541,2305.66732,5.941293264011838,A Haunted House,,0.0
1,A Haunted House,2014.0,18.428909,193.9473209883586,6.007210065503251,A Haunted House 2,,0.0
2,A Nightmare on Elm Street,1984.0,38.204158,1316.9173888888888,6.732585314548223,A Nightmare on Elm Street,,0.0
3,A Nightmare on Elm Street,1985.0,21.607228,899.9737666666666,6.07750903716693,A Nightmare on Elm Street Part 2: Freddy's Revenge,,0.0
5,A Nightmare on Elm Street,1987.0,17.304054999999998,795.86444,6.281100606440553,A Nightmare on Elm Street 3: Dream Warriors,,0.0
7,A Nightmare on Elm Street,1988.0,17.113408,935.7142857142858,6.121311233240074,A Nightmare on Elm Street 4: The Dream Master,,0.0
9,A Nightmare on Elm Street,1989.0,12.654051,177.1044875,6.073486680650609,A Nightmare on Elm Street 5: The Dream Child,,0.0
10,Ace Ventura,1994.0,41.249004,614.7826399999999,6.3250056528697325,Ace Ventura: Pet Detective,,0.0
11,Ace Ventura,1995.0,34.391791999999995,607.9517766666667,6.152426827102158,Ace Ventura: When Nature Calls,,0.0
12,Agent Cody Banks,2003.0,11.859396,109.98505,5.950273801681062,Agent Cody Banks,,0.0
13,Agent Cody Banks,2004.0,10.925618,10.84228846153846,6.085816793502963,Agent Cody Banks 2: Destination London,,0.0
14,Alien,1979.0,94.184658,853.9254636363637,7.578019067290315,Alien,,0.0
15,Alien,1986.0,67.66094,890.8997567567567,7.332942681836659,Aliens,,0.0
16,Alien,1992.0,45.856409,219.54709000000003,6.202856970347573,Alien³,,1.0
17,Alien,1997.0,37.44963,131.42857142857142,6.033608799769167,Alien: Resurrection,,1.0
19,Alien,2004.0,42.957216,144.54837571428573,5.827598258245495,AVP: Alien vs. Predator,,1.0
21,Alien,2007.0,39.381913,4.492665,5.666852095777954,Aliens vs Predator: Requiem,,1.0
22,Alvin and the Chipmunks,2007.0,47.33603400000001,502.27772166666665,5.833482376040655,Alvin and the Chipmunks,,0.0
23,Alvin and the Chipmunks,2009.0,29.412262,490.85333999999995,5.893977419255559,Alvin and the Chipmunks: The Squeakquel,,0.0
25,Alvin and the Chipmunks,2011.0,23.473004,356.9272466666667,5.952584909675709,Alvin and the Chipmunks: Chipwrecked,,0.0
27,Alvin and the Chipmunks,2015.0,27.867368,297.21173843876846,6.089354026686427,Alvin and the Chipmunks: The Road Chip,,0.0
28,American Pie,1999.0,60.76716800000001,2040.754581818182,6.339529363850131,American Pie,,0.0
29,American Pie,2001.0,36.432598,858.5119833333333,6.090921157661878,American Pie 2,,0.0
30,Anchorman,2004.0,29.342744,248.36226153846152,6.496565179489791,Anchorman: The Legend of Ron Burgundy,,0.0
31,Anchorman,2013.0,38.125008,247.29803,6.1103219723479665,Anchorman 2: The Legend Continues,,0.0
32,Austin Powers,1997.0,36.15716,310.2059939393939,6.35102532789265,Austin Powers: International Man of Mystery,,0.0
33,Austin Powers,1999.0,18.316151,842.2426848484848,6.203719190413652,Austin Powers: The Spy Who Shagged Me,,0.0
35,Austin Powers,2002.0,40.137264,370.8816365079365,6.05902673801998,Austin Powers in Goldmember,,0.0
36,Avengers,2012.0,144.448633,479.19045863636364,7.287672908013502,The Avengers,,0.0
37,Avengers,2015.0,134.27922900000002,409.68760360000005,7.153225694184794,Avengers: Age of Ultron,,0.0
38,Babe,1995.0,34.36645,747.1163666666666,6.122078099519091,Babe,,0.0
39,Babe,1998.0,11.356079,-23.186822222222222,5.9805647612122055,Babe: Pig in the City,,0.0
40,Back to the Future,1985.0,76.60323299999997,1905.840852631579,7.735960899346688,Back to the Future,,0.0
41,Back to the Future,1989.0,43.345252,730.0,7.143321428867091,Back to the Future Part II,,0.0
43,Back to the Future,1990.0,45.769562,511.3189575,6.862700063656339,Back to the Future Part III,,0.0
44,Bad Boys,1995.0,33.872182,644.2474947368421,6.388201255526569,Bad Boys,,0.0
45,Bad Boys,2003.0,38.068736,110.26119692307692,6.262764059465392,Bad Boys II,,0.0
46,Barbershop,2002.0,10.297189,531.5136833333333,6.206457667601127,Barbershop,,0.0
47,Barbershop,2004.0,6.5018150000000015,261.50228888888887,6.167317839361688,Barbershop 2:  Back in Business,,0.0
48,Batman,1989.0,44.104469,1075.28264,6.735430785582498,Batman,,0.0
49,Batman,1992.0,59.113174,250.0,6.448573357121754,Batman Returns,,0.0
51,Batman,1995.0,48.205606,236.529144,5.615096252528469,Batman Forever,,0.0
53,Batman,1997.0,50.073575,90.5656976,5.053997265576393,Batman & Robin,,0.0
55,Batman,2005.0,115.040024,149.47911533333334,7.338585474068562,Batman Begins,,0.0
56,Batman,2013.0,25.891466,157.61336948399278,6.690105685120857,"Batman: The Dark Knight Returns, Part 2",,4.0
57,Batman,2016.0,155.790452,249.3040776,5.766136733479332,Batman v Superman: Dawn of Justice,,4.0
58,Beastmaster,1982.0,6.377523,-32.90805948082622,6.189769181728455,The Beastmaster,,0.0
59,Beastmaster,1991.0,1.478505,-85.51125,6.181691894510345,Beastmaster 2: Through the Portal of Time,,0.0
60,Beverly Hills Cop,1984.0,29.843818,2009.0698533333334,6.490534684954022,Beverly Hills Cop,,0.0
61,Beverly Hills Cop,1987.0,25.28436,1399.82518,6.1677481968987,Beverly Hills Cop II,,0.0
63,Beverly Hills Cop,1994.0,20.333953,138.417978,6.000448282643219,Beverly Hills Cop III,,0.0
64,Big Momma's House,2000.0,24.389194,479.8647933333333,6.009810572906515,Big Momma's House,,0.0
65,Big Momma's House,2006.0,17.612920000000006,245.64765500000001,5.996527270543657,Big Momma's House 2,,0.0
66,Blade,1998.0,43.815492,191.51895555555555,6.395995008948406,Blade,,0.0
67,Blade,2002.0,67.16958699999999,187.05561481481482,6.202973332599898,Blade II,,0.0
69,Blade,2004.0,49.660055,98.31594769230769,5.931392376821259,Blade: Trinity,,0.0
70,Bridget Jones,2001.0,35.310712,1027.71918,6.372263196775784,Bridget Jones's Diary,,0.0
71,Bridget Jones,2004.0,28.803802,-19.59396,6.162591806356966,Bridget Jones: The Edge of Reason,,0.0
72,Captain America,2011.0,74.50624599999998,164.69269571428572,6.549075614603252,Captain America: The First Avenger,,0.0
73,Captain America,2014.0,72.22526500000002,320.45092470588236,7.385392611012993,Captain America: The Winter Soldier,,0.0
75,Captain America,2016.0,198.372395,361.321798,6.98694551338108,Captain America: Civil War,,0.0
76,Cars,2006.0,82.643036,284.9859575,6.516311193716772,Cars,,0.0
77,Cars,2011.0,49.98659,179.926198,5.93871724016949,Cars 2,,0.0
