,title,rating,popularity,ROI,score
0,Interstellar,7.921747712928741,198.372395,309.16364666666664,10.0
1,The Dark Knight,8.012329827916632,187.322927,443.00456432432435,9.907241996792557
2,Whiplash,7.885721201252364,192.528841,296.72727272727275,9.780482812861925
3,Guardians of the Galaxy,7.735309975115135,198.372395,354.8991935294118,9.622236491494819
4,Big Hero 6,7.567246381550805,198.372395,295.21542,9.281315315979366
5,Inception,7.921747712928741,167.58371,415.9579775,9.228854148922835
6,The Shawshank Redemption,8.239888195725827,136.747729,13.365875999999998,9.09948790122348
7,Fight Club,8.089989988668885,146.75739099999996,60.085322222222224,9.046639095624535
8,The Godfather,8.06839482233077,143.659698,3984.4401833333336,8.940311706611675
9,Pirates of the Caribbean: The Curse of the Black Pearl,7.331072215487559,198.372395,367.86516,8.802831485236547
10,Deadpool,7.287672908013502,198.372395,1250.1947913793103,8.71824391206603
11,Forrest Gump,7.966922719331907,138.133331,1132.6279981818182,8.585165932109929
12,Pulp Fiction,8.068164723722573,121.463076,2574.109525,8.378185604637826
13,Mad Max: Fury Road,7.100512098066482,198.372395,152.57222666666667,8.334621996119271
14,Dawn of the Planet of the Apes,7.089865430667132,198.372395,318.02621529411766,8.31367514389481
15,The Imitation Game,7.722082570713501,145.364591,1568.2550571428571,8.271722697425021
16,The Lord of the Rings: The Fellowship of the Ring,7.8070389801581275,138.049577,836.9552301075269,8.25782114451177
17,The Martian,7.4241963514597895,167.93287,483.4832314814815,8.22924695938129
18,Captain America: Civil War,6.98694551338108,198.372395,361.321798,8.105206288366144
19,Star Wars,7.84103013440742,126.393695,6949.072790909091,8.058115324020122
20,The Lord of the Rings: The Return of the King,7.8819470321969,123.630332,1090.3074244680852,8.049302743283237
21,Gone Girl,7.642862449572127,143.041543,505.4596114754099,8.048832727180088
22,Inside Out,7.752649835932003,128.65596399999998,390.063528,7.910447315673739
23,Spirited Away,7.850647290683546,118.968562,1732.8339666666668,7.871498943340185
24,One Flew Over the Cuckoo's Nest,7.672830751182296,127.525581,3532.709166666667,7.732387737843325
25,Schindler's List,7.891497536985042,104.469351,1360.7525772727274,7.589533147581669
26,Frozen,7.1191749805267985,165.125366,749.4793393333333,7.541586311482584
27,The Godfather: Part II,7.7992400299549995,105.792936,265.71416153846155,7.431474069790127
28,The Lord of the Rings: The Two Towers,7.779508639035087,106.914973,1072.5156962025317,7.422692938216398
29,The Avengers,7.287672908013502,144.448633,479.19045863636364,7.3639668911712395
30,The Green Mile,7.789577334531685,103.698022,374.3333333333333,7.359805555472565
31,Paranormal Activity,6.036375845918232,47.456823,1288938.6666666667,7.346881920979314
32,The Matrix,7.7214989707183435,104.309993,635.7418777777779,7.238139909054359
33,The Hunger Games: Mockingjay - Part 1,6.537845229340147,198.372395,501.6801832,7.195347168702202
34,Avatar,7.10650867803772,150.437577,437.6451514767933,7.146639629447337
35,Jurassic World,6.468355153566983,198.372395,749.4793393333333,7.055431641998826
36,Fury,7.149332516301549,139.575085,211.49692058823527,6.960370473483822
37,The Empire Strikes Back,7.898032219864703,78.51783,2891.1111111111113,6.958321309768189
38,Harry Potter and the Chamber of Secrets,7.217576875665337,132.397737,776.6884819999999,6.921021726663892
39,The Dark Knight Rises,7.456012726609151,112.31295,333.97563959999997,6.899349280362352
40,The Wolf of Wall Street,7.666784575704309,95.007934,292.000694,6.8927973532720195
41,The Lion King,7.707075202527628,90.457886,1651.6483911111113,6.865673524093311
42,Minions,6.364003780722744,198.372395,1463.1499486486487,6.846636484696383
43,Avengers: Age of Ultron,7.153225694184794,134.27922900000002,409.68760360000005,6.836311268500449
44,Gladiator,7.626100362373639,95.301296,344.3110941747573,6.81787646487713
45,Se7en,7.8083881513488675,79.579532,891.8541181818181,6.795523490911975
46,X-Men: Days of Future Past,7.308340193651869,118.078691,199.14511,6.743963268052839
47,Iron Man,7.272548875579335,120.725053,317.98158714285717,6.738182192903741
48,Batman Begins,7.338585474068562,115.040024,149.47911533333334,6.72893632071038
49,Alien,7.578019067290315,94.184658,853.9254636363637,6.694383183681062
